location,coordinates.latitude,coordinates.longitude,unit,co,humidity,no2,o3,pm1,pm10,pm25,pressure,so2,temperature,um003,um005,um010,um025,um050,um100
机电学校,28.6062,115.90840000000001,µg/m³,700.0,,31.0,180.0,,56.0,30.0,,3.0,,,,,,,
贺兰山马莲口(对照点),38.6016,105.95119999999999,µg/m³,800.0,,10.0,187.0,,29.0,8.0,,17.0,,,,,,,
开发区子站,30.9427,118.71730000000001,µg/m³,700.0,,18.0,150.0,,56.0,37.0,,7.0,,,,,,,
监测站,32.4287,105.8628,µg/m³,300.0,,13.0,128.0,,15.0,8.0,,3.0,,,,,,,
奥体中心,39.9821,116.39660000000002,µg/m³,400.0,,10.0,187.0,,28.0,10.0,,3.0,,,,,,,
浦口,32.0931,118.6414,µg/m³,200.0,,16.0,80.0,,61.0,14.0,,3.0,,,,,,,
人口学校,36.20170000000001,117.0885,µg/m³,600.0,,20.0,235.0,,66.0,35.0,,6.0,,,,,,,
武功山(对照点),27.500200000000003,114.0997,µg/m³,900.0,,4.0,80.0,,6.0,3.0,,8.0,,,,,,,
马山宾馆,30.5119,117.0331,µg/m³,900.0,,14.0,127.0,,84.0,43.0,,2.0,,,,,,,
延安路89号,29.696300000000004,118.2903,µg/m³,500.0,,9.0,146.0,,37.0,14.0,,5.0,,,,,,,
三里街,31.8764,117.30719999999998,µg/m³,700.0,,29.0,133.0,,51.0,29.0,,4.0,,,,,,,
长江中路,31.8571,117.25,µg/m³,700.0,,24.0,165.0,,44.0,14.0,,9.0,,,,,,,
滨湖新区,31.7385,117.2776,µg/m³,800.0,,51.0,154.0,,75.0,19.0,,6.0,,,,,,,
包河区,31.796400000000002,117.3027,µg/m³,800.0,,50.0,158.0,,66.0,29.0,,12.0,,,,,,,
阜阳职业技术学院,32.88920000000001,115.784,µg/m³,400.0,,28.0,120.0,,10.0,8.0,,4.0,,,,,,,
人大宾馆,32.27859999999999,118.32439999999998,µg/m³,800.0,,32.0,162.0,,63.0,28.0,,10.0,,,,,,,
池州学院,30.6618,117.47000000000001,µg/m³,800.0,,16.0,183.0,,76.0,46.0,,5.0,,,,,,,
市第九中学,30.8792,117.74389999999998,µg/m³,1100.0,,30.0,180.0,,112.0,53.0,,8.0,,,,,,,
市公路局,30.9273,117.8059,µg/m³,700.0,,32.0,208.0,,88.0,42.0,,6.0,,,,,,,
市新民污水厂,30.941300000000002,117.78070000000001,µg/m³,1300.0,,38.0,188.0,,88.0,35.0,,6.0,,,,,,,
工人疗养院,32.939,117.396,µg/m³,500.0,,13.0,132.0,,46.0,25.0,,13.0,,,,,,,
八公山区政府,32.633,116.82809999999999,µg/m³,700.0,,13.0,128.0,,30.0,21.0,,5.0,,,,,,,
市环保局,42.9418,89.1904,µg/m³,400.0,,4.0,133.0,,29.0,16.0,,5.0,,,,,,,
职工医院,38.0444,114.4422,µg/m³,700.0,,12.0,198.0,,27.0,26.0,,5.0,,,,,,,
榆中兰大校区(对照点),35.9454,104.1373,µg/m³,700.0,,8.0,164.0,,37.0,14.0,,3.0,,,,,,,
庐山气象台(对照点),29.569799999999997,115.9773,µg/m³,300.0,,2.0,131.0,,36.0,27.0,,6.0,,,,,,,
环保监测大楼,38.24779999999999,109.73360000000001,µg/m³,400.0,,14.0,176.0,,39.0,16.0,,5.0,,,,,,,
红石峡森林公园(对照点),38.33440000000001,109.7414,µg/m³,300.0,,10.0,161.0,,33.0,22.0,,5.0,,,,,,,
睢阳区环保局,34.3948,115.62930000000001,µg/m³,600.0,,7.0,137.0,,38.0,15.0,,5.0,,,,,,,
淮河道,39.2133,117.1837,µg/m³,700.0,,25.0,242.0,,43.0,27.0,,6.0,,,,,,,
安家,31.9087,119.92550000000001,µg/m³,1300.0,,34.0,212.0,,52.0,38.0,,9.0,,,,,,,
金胜,37.78199999999999,112.4701,µg/m³,600.0,,28.0,266.0,,50.0,13.0,,13.0,,,,,,,
环保局,32.9917,112.5192,µg/m³,700.0,,4.0,132.0,,20.0,21.0,,8.0,,,,,,,
理工学院,32.9692,112.548,µg/m³,600.0,,3.0,137.0,,23.0,17.0,,6.0,,,,,,,
远航博物馆,33.666,116.9509,µg/m³,400.0,,12.0,108.0,,31.0,20.0,,6.0,,,,,,,
市体育局,32.3972,119.3633,µg/m³,1200.0,,18.0,196.0,,85.0,44.0,,13.0,,,,,,,
东关招商场,37.9325,102.6486,µg/m³,300.0,,11.0,138.0,,47.0,15.0,,8.0,,,,,,,
中山北路,39.16989999999999,117.2101,µg/m³,900.0,,14.0,238.0,,37.0,22.0,,5.0,,,,,,,
双创科技城,28.4315,117.897,µg/m³,400.0,,10.0,167.0,,52.0,37.0,,1.0,,,,,,,
唐尧大酒店,36.101400000000005,111.505,µg/m³,800.0,,13.0,214.0,,32.0,40.0,,5.0,,,,,,,
城南,36.0414,111.5036,µg/m³,800.0,,21.0,205.0,,86.0,49.0,,6.0,,,,,,,
外国语学校,29.6994,116.0254,µg/m³,600.0,,18.0,162.0,,64.0,38.0,,4.0,,,,,,,
宁德一中,26.656200000000002,119.5231,µg/m³,1700.0,,5.0,137.0,,61.0,35.0,,6.0,,,,,,,
原169医院(对照点),26.916699999999995,112.5003,µg/m³,600.0,,9.0,119.0,,15.0,12.0,,4.0,,,,,,,
